id;nom;jeu;taille;telephone
1;Agent;Human deposit;33902;27887
2;Saint Helena Pound programming;AI optical invoice;8413;93563
3;solid state;Home Loan Account Tools Unbranded;66350;97366
4;clear-thinking;Latvia;69189;44842
5;Manager Fish;Networked;32539;17882
6;world-class program alarm;Nevada;9367;50881
7;withdrawal Ergonomic;Strategist target;89204;90609
8;users dot-com;North Dakota Cambridgeshire;19524;23018
9;Bedfordshire Alaska calculate;Chips;94045;46994
10;uniform PCI back up;Tactics architectures Planner;96361;98033
