id;type;nom;prix_jour
1;encompassing;Directives;32320
2;Mauritania;facilitate Tasty Concrete Chips Exclusive;69630
3;card Plastic;Computers Personal Loan Account Berkshire;5147
4;encompassing;deposit Canadian Dollar Lebanon;44778
5;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;36778
6;invoice withdrawal;bypassing optical;15071
7;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;51209
8;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;67569
9;bandwidth azure;SMS Enhanced;65998
10;parsing;Borders content-based;99625
