id;numero_id;equipe;coach;local;duree;prix_total;date_debut
1;43897;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;71459;18286;2019-11-14
2;93461;invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;75784;2019-11-14
3;1439;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;43385;64977;2019-11-14
4;4805;Web HTTP;implement;Optimization Cambridgeshire;53937;65869;2019-11-14
5;16293;Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;54561;82063;2019-11-13
6;62593;parsing invoice;black;yellow;37725;1822;2019-11-14
7;9444;Gourde US Dollar Handcrafted Plastic Shirt;Armenian Dram wireless directional;Metal Rupiah;62894;93664;2019-11-13
8;3918;schemas Specialist China;quantify multi-byte;interface Cotton Robust;58054;34080;2019-11-13
9;93075;SSL bandwidth;application Configurable iterate;Berkshire navigating;32004;29763;2019-11-13
10;9998;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;9170;29321;2019-11-14
